0.1	0.1	0.04
0.198	0.2	0.072
0.278	0.3	0.102
0.322	0.36	0.126
0.362	0.41	0.154
0.386	0.46	0.194
0.406	0.51	0.214
0.426	0.56	0.212
0.446	0.56	0.1775
0.464	0.56	0.2225
0.464	0.56	0.21
0.464	0.56	0.27666666666666667
0.464	0.56	0.41
0.464	0.56	0.415
0.464	0.56	0.415
0.464	0.56	0.415
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
0.464	0.56	0.41
